Hours,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Gender,Age,Work,Residence,SPIN_T,Multiplayer,Online,Relation,SPIN_M,whyplay
45.0,0.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,Male,19,Student at college / university,USA,30.0,yes,yes,friends,Mild,fun
11.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,3.0,Male,28,Employed,Canada,30.0,no,no,alone,Mild,fun
12.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,Male,18,Student at college / university,UK,11.0,yes,yes,friends,,fun
25.0,1.0,3.0,0.0,3.0,3.0,3.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,3.0,4.0,2.0,2.0,Male,24,Student at college / university,Canada,34.0,yes,yes,strangers,Moderate,improving
9.0,2.0,4.0,1.0,2.0,-1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,Male,19,Student at college / university,USA,-1.0,yes,yes,strangers,Undefined,fun
6.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,Male,22,Student at college / university,USA,13.0,yes,yes,friends,,relaxing
20.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,Male,19,Student at college / university,USA,13.0,yes,yes,friends,,fun
6.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,Female,18,Student at school,USA,11.0,no,no,alone,,relaxing
20.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,1.0,0.0,3.0,2.0,2.0,3.0,Female,22,Student at college / university,USA,47.0,no,no,alone,Severe,relaxing
10.0,0.0,0.0,3.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,2.0,Male,18,Student at college / university,USA,31.0,no,no,alone,Moderate,fun
8.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,Male,20,Student at college / university,Germany,16.0,yes,yes,strangers,,winning
25.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,Male,18,Student at school,UK,-1.0,yes,yes,strangers,Undefined,winning
25.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,Male,22,Employed,South Africa,15.0,yes,yes,strangers,,winning
16.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,Male,22,Student at college / university,Germany,45.0,yes,yes,strangers,Severe,improving
20.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,Male,27,Student at college / university,Germany,15.0,yes,yes,friends,,improving
15.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,Male,20,Unemployed / between jobs,USA,16.0,yes,yes,friends,,improving
50.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,20,Unemployed / between jobs,Croatia,5.0,yes,yes,online acquaintaces,,improving
12.0,2.0,2.0,2.0,4.0,4.0,4.0,0.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,Male,18,Student at college / university,UK,50.0,yes,yes,strangers,Severe,winning
28.0,0.0,2.0,4.0,3.0,2.0,3.0,1.0,4.0,4.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,Male,19,Unemployed / between jobs,Switzerland,33.0,no,no,alone,Moderate,fun
